DATE,PAT
2021-02-24,48.4329
2021-02-25,46.5608
2021-02-26,48.1621
2021-02-27,44.7208
2021-02-28,41.9871
2021-03-01,50.7992
2021-03-02,55.6029
2021-03-03,53.7217
2021-03-04,54.0371
2021-03-05,53.5108
2021-03-06,44.6550
2021-03-07,45.7646
2021-03-08,61.6912
2021-03-09,61.3275
2021-03-10,56.2267
2021-03-11,53.7029
2021-03-12,47.7612
2021-03-13,41.2183
2021-03-14,39.5908
2021-03-15,51.7679
2021-03-16,56.0913
2021-03-17,58.3721
2021-03-18,65.9604
2021-03-19,62.3421
2021-03-20,50.7037
2021-03-21,38.2437
2021-03-22,61.0225
2021-03-23,62.8963
2021-03-24,59.7196
2021-03-25,63.5629
2021-03-26,58.7421
2021-03-27,45.0942
2021-03-28,41.6300
2021-03-29,51.1858
2021-03-30,58.1700
2021-03-31,58.1467
2021-04-01,54.9937
2021-04-02,43.5496
2021-04-03,39.3717
2021-04-04,26.1358
2021-04-05,7.4813
2021-04-06,52.2133
2021-04-07,57.4825
2021-04-08,61.6062
2021-04-09,61.7042
2021-04-10,58.1675
2021-04-11,50.8275
2021-04-12,68.0042
2021-04-13,70.9196
2021-04-14,76.8563
2021-04-15,74.5692
2021-04-16,69.8300
2021-04-17,63.5733
2021-04-18,65.0621
2021-04-19,83.6846
2021-04-20,82.4196
2021-04-21,77.8000
2021-04-22,59.2279
2021-04-23,65.6050
2021-04-24,51.8242
2021-04-25,37.6492
2021-04-26,64.5187
2021-04-27,70.1767
2021-04-28,67.5737
2021-04-29,69.1658
2021-04-30,70.5400
2021-05-01,55.6100
2021-05-02,43.6992
2021-05-03,61.8700
2021-05-04,31.7629
2021-05-05,46.2942
2021-05-06,67.1233
2021-05-07,70.8108
2021-05-08,45.4300
2021-05-09,10.0683
2021-05-10,59.7467
2021-05-11,71.5692
2021-05-12,69.0767
2021-05-13,63.4100
2021-05-14,71.5317
2021-05-15,58.5058
2021-05-16,38.8512
2021-05-17,73.8075
2021-05-18,74.5154
2021-05-19,77.2646
2021-05-20,66.7825
2021-05-21,34.7200
2021-05-22,17.3517
2021-05-23,22.6646
2021-05-24,33.3512
2021-05-25,60.4058
2021-05-26,66.4292
2021-05-27,72.5717
2021-05-28,73.8033
2021-05-29,55.4758
2021-05-30,37.1246
2021-05-31,67.4871
2021-06-01,68.4762
2021-06-02,65.9383
2021-06-03,63.8500
2021-06-04,72.2808
2021-06-05,61.7117
2021-06-06,59.4800
2021-06-07,77.7271
2021-06-08,76.7725
2021-06-09,77.2471
2021-06-10,78.9633
2021-06-11,77.6904
2021-06-12,35.3754
2021-06-13,23.5287
2021-06-14,76.2433
2021-06-15,82.6146
2021-06-16,84.4350
2021-06-17,80.5933
2021-06-18,80.7417
2021-06-19,70.5450
2021-06-20,57.8154
2021-06-21,78.1933
2021-06-22,84.5800
2021-06-23,92.9921
2021-06-24,94.8633
2021-06-25,89.9183
2021-06-26,78.4492
2021-06-27,66.2846
2021-06-28,88.9025
2021-06-29,91.7429
2021-06-30,92.1679
2021-07-01,90.1325
2021-07-02,97.0783
2021-07-03,85.0083
2021-07-04,81.6333
2021-07-05,94.0150
2021-07-06,86.7096
2021-07-07,101.3825
2021-07-08,109.1917
2021-07-09,91.2792
2021-07-10,81.3329
2021-07-11,77.4462
2021-07-12,94.0179
2021-07-13,94.2254
2021-07-14,88.6567
2021-07-15,88.9262
2021-07-16,84.6175
2021-07-17,64.8017
2021-07-18,46.8571
2021-07-19,90.4621
2021-07-20,91.4971
2021-07-21,92.3575
2021-07-22,88.5954
2021-07-23,88.8783
2021-07-24,73.9021
2021-07-25,62.3862
2021-07-26,88.5596
2021-07-27,87.1833
2021-07-28,82.9058
2021-07-29,69.9842
2021-07-30,70.1508
2021-07-31,47.7717
2021-08-01,58.3538
2021-08-02,82.0458
2021-08-03,96.1713
2021-08-04,97.7604
2021-08-05,91.9646
2021-08-06,67.5800
2021-08-07,54.6562
2021-08-08,7.7321
2021-08-09,70.0608
2021-08-10,91.7083
2021-08-11,101.1392
2021-08-12,106.1400
2021-08-13,93.7375
2021-08-14,70.1121
2021-08-15,61.2546
2021-08-16,71.0987
2021-08-17,58.9867
2021-08-18,78.8571
2021-08-19,93.7850
2021-08-20,102.7704
2021-08-21,90.0504
2021-08-22,77.5879
2021-08-23,94.0746
2021-08-24,94.1133
2021-08-25,85.4542
2021-08-26,93.5783
2021-08-27,96.0000
2021-08-28,85.4396
2021-08-29,81.3300
2021-08-30,107.6758
2021-08-31,109.8604
2021-09-01,111.4917
2021-09-02,117.6579
2021-09-03,111.7292
2021-09-04,105.9742
2021-09-05,97.5796
2021-09-06,128.8575
2021-09-07,128.2292
2021-09-08,124.8621
2021-09-09,133.4454
2021-09-10,139.7721
2021-09-11,126.8017
2021-09-12,107.7062
2021-09-13,144.2017
2021-09-14,147.7529
2021-09-15,167.9054
2021-09-16,166.4254
2021-09-17,158.2342
2021-09-18,132.8683
2021-09-19,97.7263
2021-09-20,153.8471
2021-09-21,148.1038
2021-09-22,147.4296
2021-09-23,131.3575
2021-09-24,129.2458
2021-09-25,137.6646
2021-09-26,124.6788
2021-09-27,152.7438
2021-09-28,158.7013
2021-09-29,150.0162
2021-09-30,157.5538
2021-10-01,141.1700
2021-10-02,100.7704
2021-10-03,50.4338
2021-10-04,172.9762
2021-10-05,157.3025
2021-10-06,200.0658
2021-10-07,294.6162
2021-10-08,202.4433
2021-10-09,164.5196
2021-10-10,157.9112
2021-10-11,179.0204
2021-10-12,189.1704
2021-10-13,190.4383
2021-10-14,186.4208
2021-10-15,186.1096
