DATE,PDE
2021-03-12,22.6612
2021-03-13,10.6138
2021-03-14,17.6529
2021-03-15,49.4758
2021-03-16,56.0396
2021-03-17,57.8525
2021-03-18,65.2742
2021-03-19,56.3558
2021-03-20,50.5450
2021-03-21,35.8304
2021-03-22,60.6854
2021-03-23,62.0442
2021-03-24,55.8304
2021-03-25,58.7587
2021-03-26,50.9833
2021-03-27,24.7267
2021-03-28,17.7754
2021-03-29,42.5950
2021-03-30,56.3096
2021-03-31,58.4988
2021-04-01,52.3642
2021-04-02,35.5154
2021-04-03,39.9196
2021-04-04,23.5667
2021-04-05,-15.3904
2021-04-06,38.4317
2021-04-07,49.4033
2021-04-08,57.7471
2021-04-09,55.7308
2021-04-10,57.6675
2021-04-11,48.5962
2021-04-12,62.9867
2021-04-13,57.4962
2021-04-14,70.1688
2021-04-15,66.3625
2021-04-16,63.7279
2021-04-17,61.6475
2021-04-18,62.1521
2021-04-19,75.9292
2021-04-20,75.8792
2021-04-21,58.3629
2021-04-22,47.2188
2021-04-23,62.0629
2021-04-24,51.5092
2021-04-25,37.6558
2021-04-26,62.0067
2021-04-27,59.7279
2021-04-28,61.5179
2021-04-29,59.7208
2021-04-30,70.0296
2021-05-01,55.5962
2021-05-02,43.7800
2021-05-03,61.4279
2021-05-04,28.7133
2021-05-05,33.9129
2021-05-06,66.9596
2021-05-07,70.6446
2021-05-08,46.2817
2021-05-09,6.3504
2021-05-10,59.4454
2021-05-11,71.5692
2021-05-12,69.0675
2021-05-13,63.4100
2021-05-14,71.5833
2021-05-15,58.5988
2021-05-16,40.4050
2021-05-17,74.3896
2021-05-18,74.5154
2021-05-19,77.5150
2021-05-20,66.9396
2021-05-21,29.8375
2021-05-22,-6.4308
2021-05-23,22.8463
2021-05-24,32.5571
2021-05-25,60.3883
2021-05-26,65.7004
2021-05-27,72.4367
2021-05-28,73.8071
2021-05-29,55.4758
2021-05-30,37.9283
2021-05-31,67.6246
2021-06-01,68.4808
2021-06-02,66.0850
2021-06-03,62.6875
2021-06-04,72.2463
2021-06-05,61.5929
2021-06-06,59.8229
2021-06-07,77.7271
2021-06-08,76.8771
2021-06-09,77.4342
2021-06-10,79.0558
2021-06-11,77.7837
2021-06-12,34.4279
2021-06-13,23.4096
2021-06-14,74.9871
2021-06-15,82.5487
2021-06-16,84.3337
2021-06-17,78.0263
2021-06-18,80.5271
2021-06-19,69.6146
2021-06-20,57.8550
2021-06-21,78.1933
2021-06-22,84.7021
2021-06-23,93.4721
2021-06-24,94.9967
2021-06-25,90.1021
2021-06-26,78.8175
2021-06-27,65.2404
2021-06-28,88.8458
2021-06-29,91.7508
2021-06-30,92.2775
2021-07-01,90.1675
2021-07-02,96.6212
2021-07-03,83.7663
2021-07-04,81.9575
2021-07-05,94.1833
2021-07-06,80.3637
2021-07-07,99.7317
2021-07-08,108.7762
2021-07-09,91.4046
2021-07-10,80.4871
2021-07-11,77.4462
2021-07-12,93.9750
2021-07-13,94.2312
2021-07-14,87.4550
2021-07-15,89.7054
2021-07-16,84.4992
2021-07-17,60.6554
2021-07-18,46.7088
2021-07-19,90.3225
2021-07-20,91.4096
2021-07-21,89.9929
2021-07-22,87.8017
2021-07-23,88.7713
2021-07-24,73.5921
2021-07-25,62.1521
2021-07-26,88.8104
2021-07-27,87.3329
2021-07-28,77.2421
2021-07-29,46.4883
2021-07-30,64.7042
2021-07-31,29.3863
2021-08-01,59.1796
2021-08-02,82.0304
2021-08-03,96.6071
2021-08-04,98.1771
2021-08-05,92.9267
2021-08-06,71.3904
2021-08-07,57.0871
2021-08-08,8.3787
2021-08-09,70.1463
2021-08-10,92.0829
2021-08-11,101.2704
2021-08-12,106.2037
2021-08-13,93.7979
2021-08-14,62.9479
2021-08-15,61.5129
2021-08-16,66.6150
2021-08-17,57.9213
2021-08-18,78.9775
2021-08-19,93.7454
2021-08-20,102.8671
2021-08-21,90.0504
2021-08-22,77.5658
2021-08-23,94.1867
2021-08-24,95.6133
2021-08-25,83.4996
2021-08-26,93.5604
2021-08-27,96.0000
2021-08-28,83.9517
2021-08-29,81.0129
2021-08-30,107.6904
2021-08-31,110.1708
2021-09-01,112.1742
2021-09-02,118.2938
2021-09-03,111.4629
2021-09-04,106.4158
2021-09-05,97.6717
2021-09-06,128.3492
2021-09-07,128.0775
2021-09-08,124.3813
2021-09-09,130.9829
2021-09-10,139.8067
2021-09-11,126.2800
