DATE,PFR
2021-03-12,37.3058
2021-03-13,23.4375
2021-03-14,25.6708
2021-03-15,50.0587
2021-03-16,56.2575
2021-03-17,56.3829
2021-03-18,64.6721
2021-03-19,56.4400
2021-03-20,51.2075
2021-03-21,40.3179
2021-03-22,61.3083
2021-03-23,63.4667
2021-03-24,61.2667
2021-03-25,59.4150
2021-03-26,53.5121
2021-03-27,36.5646
2021-03-28,27.5179
2021-03-29,47.5908
2021-03-30,55.9983
2021-03-31,56.8200
2021-04-01,52.8617
2021-04-02,40.3683
2021-04-03,35.1279
2021-04-04,27.8921
2021-04-05,29.1596
2021-04-06,59.7983
2021-04-07,75.2583
2021-04-08,71.6854
2021-04-09,71.9567
2021-04-10,58.8771
2021-04-11,53.7767
2021-04-12,73.2171
2021-04-13,83.6758
2021-04-14,79.8912
2021-04-15,74.8196
2021-04-16,71.1863
2021-04-17,64.4708
2021-04-18,64.5808
2021-04-19,82.4204
2021-04-20,81.2200
2021-04-21,77.7579
2021-04-22,69.8946
2021-04-23,65.0979
2021-04-24,51.6163
2021-04-25,37.6258
2021-04-26,60.7367
2021-04-27,67.5442
2021-04-28,69.2429
2021-04-29,69.3133
2021-04-30,73.3658
2021-05-01,56.1950
2021-05-02,46.7596
2021-05-03,65.3925
2021-05-04,38.4904
2021-05-05,63.3617
2021-05-06,73.3217
2021-05-07,72.4575
2021-05-08,42.1812
2021-05-09,9.3733
2021-05-10,60.3479
2021-05-11,71.5692
2021-05-12,69.0904
2021-05-13,63.4100
2021-05-14,71.3113
2021-05-15,55.8837
2021-05-16,30.6671
2021-05-17,70.5846
2021-05-18,74.5154
2021-05-19,76.6867
2021-05-20,66.2929
2021-05-21,26.5512
2021-05-22,21.3662
2021-05-23,22.8304
2021-05-24,33.7254
2021-05-25,61.0571
2021-05-26,68.9188
2021-05-27,72.9354
2021-05-28,73.5475
2021-05-29,55.5546
2021-05-30,31.8529
2021-05-31,66.8225
2021-06-01,68.4446
2021-06-02,65.6004
2021-06-03,66.0292
2021-06-04,72.3696
2021-06-05,62.4633
2021-06-06,57.6246
2021-06-07,77.7271
2021-06-08,76.1350
2021-06-09,76.2667
2021-06-10,78.4104
2021-06-11,77.2121
2021-06-12,44.8375
2021-06-13,27.0658
2021-06-14,75.9033
2021-06-15,82.4662
2021-06-16,86.1796
2021-06-17,82.8150
2021-06-18,81.0700
2021-06-19,72.6762
2021-06-20,57.3108
2021-06-21,78.1933
2021-06-22,83.2929
2021-06-23,84.9708
2021-06-24,89.1467
2021-06-25,86.7754
2021-06-26,75.3867
2021-06-27,52.1842
2021-06-28,87.9558
2021-06-29,90.1750
2021-06-30,90.1392
2021-07-01,88.5675
2021-07-02,96.4958
2021-07-03,83.9563
2021-07-04,78.3525
2021-07-05,92.9788
2021-07-06,80.6333
2021-07-07,98.7262
2021-07-08,93.6321
2021-07-09,90.6675
2021-07-10,81.6408
2021-07-11,77.4462
2021-07-12,93.8492
2021-07-13,93.4117
2021-07-14,69.3304
2021-07-15,75.0204
2021-07-16,83.0192
2021-07-17,62.5350
2021-07-18,46.8737
2021-07-19,90.2529
2021-07-20,90.8954
2021-07-21,91.0217
2021-07-22,88.4283
2021-07-23,87.7338
2021-07-24,74.7387
2021-07-25,62.5125
2021-07-26,86.4908
2021-07-27,84.4996
2021-07-28,64.7871
2021-07-29,49.0742
2021-07-30,39.6254
2021-07-31,30.3246
2021-08-01,50.6533
2021-08-02,82.4458
2021-08-03,90.6967
2021-08-04,91.6354
2021-08-05,79.7096
