DATE,PIT
2021-03-12,60.6542
2021-03-13,55.6421
2021-03-14,43.9937
2021-03-15,55.9392
2021-03-16,62.3571
2021-03-17,60.2283
2021-03-18,71.6363
2021-03-19,63.6367
2021-03-20,63.3458
2021-03-21,54.8979
2021-03-22,62.7696
2021-03-23,63.4854
2021-03-24,62.4683
2021-03-25,65.8446
2021-03-26,65.2788
2021-03-27,57.0037
2021-03-28,60.2154
2021-03-29,62.7587
2021-03-30,62.1387
2021-03-31,60.9217
2021-04-01,61.2154
2021-04-02,56.4633
2021-04-03,58.3021
2021-04-04,40.2658
2021-04-05,52.3717
2021-04-06,62.4475
2021-04-07,67.7862
2021-04-08,73.2025
2021-04-09,70.8896
2021-04-10,59.5508
2021-04-11,58.4475
2021-04-12,75.1071
2021-04-13,79.3979
2021-04-14,81.9842
2021-04-15,77.2358
2021-04-16,73.9279
2021-04-17,68.0950
2021-04-18,68.9450
2021-04-19,82.7238
2021-04-20,80.9763
2021-04-21,78.8342
2021-04-22,73.5221
2021-04-23,70.6642
2021-04-24,65.1879
2021-04-25,66.5917
2021-04-26,72.3212
2021-04-27,75.9675
2021-04-28,73.2683
2021-04-29,74.2963
2021-04-30,72.7687
2021-05-01,56.3808
2021-05-02,45.7925
2021-05-03,72.5571
2021-05-04,73.0500
2021-05-05,72.7971
2021-05-06,74.2512
2021-05-07,76.6442
2021-05-08,67.3104
2021-05-09,63.0475
2021-05-10,69.7575
2021-05-11,75.0213
2021-05-12,69.9121
2021-05-13,74.3550
2021-05-14,77.5654
2021-05-15,61.0933
2021-05-16,46.5962
2021-05-17,71.7142
2021-05-18,75.4154
2021-05-19,78.7088
2021-05-20,72.0696
2021-05-21,77.2979
2021-05-22,61.2425
2021-05-23,61.3683
2021-05-24,74.0962
2021-05-25,69.5862
2021-05-26,81.7400
2021-05-27,82.6200
2021-05-28,78.7512
2021-05-29,63.3733
2021-05-30,59.1162
2021-05-31,71.1063
2021-06-01,69.9675
2021-06-02,66.3217
2021-06-03,67.6779
2021-06-04,76.6712
2021-06-05,67.1762
2021-06-06,66.9892
2021-06-07,78.1575
2021-06-08,77.1762
2021-06-09,76.5300
2021-06-10,83.0275
2021-06-11,81.2146
2021-06-12,72.1112
2021-06-13,64.9908
2021-06-14,76.3408
2021-06-15,83.9708
2021-06-16,90.5787
2021-06-17,89.4388
2021-06-18,86.0300
2021-06-19,74.0258
2021-06-20,75.4679
2021-06-21,84.7738
2021-06-22,89.6175
2021-06-23,100.8625
2021-06-24,103.2163
2021-06-25,95.7054
2021-06-26,82.8521
2021-06-27,82.2092
2021-06-28,98.2725
2021-06-29,111.2304
2021-06-30,102.5825
2021-07-01,98.1983
2021-07-02,110.6600
2021-07-03,104.6012
2021-07-04,91.7125
2021-07-05,97.8854
2021-07-06,103.9971
2021-07-07,111.0975
2021-07-08,108.1196
2021-07-09,94.6108
2021-07-10,87.2242
2021-07-11,82.8500
2021-07-12,102.7625
2021-07-13,105.8508
2021-07-14,98.9775
2021-07-15,96.3133
2021-07-16,98.9433
2021-07-17,89.1279
2021-07-18,78.9038
2021-07-19,97.0242
2021-07-20,108.2925
2021-07-21,100.8129
2021-07-22,100.2738
2021-07-23,107.9962
2021-07-24,96.7596
2021-07-25,84.4004
2021-07-26,105.5358
2021-07-27,111.7437
2021-07-28,113.6242
2021-07-29,112.1346
2021-07-30,107.9575
2021-07-31,103.9392
2021-08-01,75.6342
2021-08-02,101.8025
2021-08-03,108.5804
2021-08-04,110.2367
2021-08-05,103.8637
2021-08-06,103.1808
2021-08-07,78.1283
2021-08-08,79.8796
2021-08-09,86.3546
2021-08-10,105.8462
2021-08-11,112.4242
2021-08-12,114.5479
2021-08-13,114.9225
2021-08-14,108.8879
2021-08-15,111.1975
2021-08-16,115.4750
2021-08-17,113.4375
2021-08-18,110.4258
2021-08-19,108.1208
2021-08-20,105.2546
2021-08-21,95.9996
2021-08-22,95.2687
2021-08-23,107.8867
2021-08-24,114.0312
2021-08-25,106.0700
2021-08-26,125.9212
2021-08-27,113.0104
2021-08-28,106.9958
2021-08-29,97.9246
2021-08-30,124.5246
2021-08-31,126.7163
