DATE,PPL
2021-03-12,39.8779
2021-03-13,37.5833
2021-03-14,42.4590
2021-03-15,56.8931
2021-03-16,62.2294
2021-03-17,62.9392
2021-03-18,65.3944
2021-03-19,59.7012
2021-03-20,51.2437
2021-03-21,39.3852
2021-03-22,59.7135
2021-03-23,61.8206
2021-03-24,59.0977
2021-03-25,60.2606
2021-03-26,53.5254
2021-03-27,37.8204
2021-03-28,33.0894
2021-03-29,42.5196
2021-03-30,48.9277
2021-03-31,56.1731
2021-04-01,48.9423
2021-04-02,41.0654
2021-04-03,40.5277
2021-04-04,27.8388
2021-04-05,18.3771
2021-04-06,40.4188
2021-04-07,52.0179
2021-04-08,53.2315
2021-04-09,39.2075
2021-04-10,50.8550
2021-04-11,44.4290
2021-04-12,52.3040
2021-04-13,57.5583
2021-04-14,64.6644
2021-04-15,58.2944
2021-04-16,56.1173
2021-04-17,51.1733
2021-04-18,53.5587
2021-04-19,60.3308
2021-04-20,67.6481
2021-04-21,55.6560
2021-04-22,45.1702
2021-04-23,50.4658
2021-04-24,46.3579
2021-04-25,40.3692
2021-04-26,62.4737
2021-04-27,63.5608
2021-04-28,62.2917
2021-04-29,59.0596
2021-04-30,64.4502
2021-05-01,55.6377
2021-05-02,51.3621
2021-05-03,60.4029
2021-05-04,48.1329
2021-05-05,50.0546
2021-05-06,62.0048
2021-05-07,68.6258
2021-05-08,52.4173
2021-05-09,38.1265
2021-05-10,52.1215
2021-05-11,53.5548
2021-05-12,60.4206
2021-05-13,53.6802
2021-05-14,64.7990
2021-05-15,47.4910
2021-05-16,47.6948
2021-05-17,68.4715
2021-05-18,67.0444
2021-05-19,67.9733
2021-05-20,56.4310
2021-05-21,45.5269
2021-05-22,39.4410
2021-05-23,39.0600
2021-05-24,54.9815
2021-05-25,65.7027
2021-05-26,66.4337
2021-05-27,73.5260
2021-05-28,73.1123
2021-05-29,57.8908
2021-05-30,48.3369
2021-05-31,68.0715
2021-06-01,72.6431
2021-06-02,67.4760
2021-06-03,59.3631
2021-06-04,73.0160
2021-06-05,61.8673
2021-06-06,59.8167
2021-06-07,77.6923
2021-06-08,76.2852
2021-06-09,76.8208
2021-06-10,78.1802
2021-06-11,77.4619
2021-06-12,43.6781
2021-06-13,36.8698
2021-06-14,73.3283
2021-06-15,82.7212
2021-06-16,83.3073
2021-06-17,76.9904
2021-06-18,79.3040
2021-06-19,72.2831
2021-06-20,61.4200
2021-06-21,77.9602
2021-06-22,84.8381
2021-06-23,91.5650
2021-06-24,91.7523
2021-06-25,88.9129
2021-06-26,79.1100
2021-06-27,68.2975
2021-06-28,87.8271
2021-06-29,90.0804
2021-06-30,88.9646
2021-07-01,87.1542
2021-07-02,91.9425
2021-07-03,83.3098
2021-07-04,81.0983
2021-07-05,90.7206
2021-07-06,77.5387
2021-07-07,85.4698
2021-07-08,93.0298
2021-07-09,81.7512
2021-07-10,68.2335
2021-07-11,65.8744
2021-07-12,84.2067
2021-07-13,81.1769
2021-07-14,81.3252
2021-07-15,84.0473
2021-07-16,76.7969
2021-07-17,61.9550
2021-07-18,48.6617
2021-07-19,78.1542
2021-07-20,70.8837
2021-07-21,70.5271
2021-07-22,68.8846
2021-07-23,72.3329
2021-07-24,65.5873
2021-07-25,58.7450
2021-07-26,79.1108
2021-07-27,80.5669
2021-07-28,76.7602
2021-07-29,61.8402
2021-07-30,64.4258
2021-07-31,57.5577
2021-08-01,59.5646
2021-08-02,80.9340
2021-08-03,93.6440
2021-08-04,94.7587
2021-08-05,87.8085
2021-08-06,74.2435
2021-08-07,60.9010
2021-08-08,45.6840
2021-08-09,76.1569
2021-08-10,87.7629
2021-08-11,94.0969
2021-08-12,97.1398
2021-08-13,90.1656
2021-08-14,68.4579
2021-08-15,65.7973
2021-08-16,81.5415
2021-08-17,70.8810
2021-08-18,76.8458
2021-08-19,90.4877
2021-08-20,95.8656
2021-08-21,89.7592
2021-08-22,77.6354
2021-08-23,89.4931
2021-08-24,95.3733
2021-08-25,81.0856
2021-08-26,91.0017
2021-08-27,92.8494
2021-08-28,85.4619
2021-08-29,81.0129
2021-08-30,99.3650
2021-08-31,100.2696
2021-09-01,103.9700
2021-09-02,107.0888
2021-09-03,102.1212
2021-09-04,101.2994
2021-09-05,94.3890
2021-09-06,111.0508
2021-09-07,109.9563
2021-09-08,107.8429
2021-09-09,110.8292
2021-09-10,117.7702
2021-09-11,112.3560
2021-09-12,100.6450
2021-09-13,126.3196
2021-09-14,131.6942
2021-09-15,127.0117
2021-09-16,129.0298
2021-09-17,124.8535
2021-09-18,119.4279
2021-09-19,92.5773
2021-09-20,125.2452
2021-09-21,123.2956
2021-09-22,124.7800
2021-09-23,77.1233
2021-09-24,83.0902
2021-09-25,107.5785
2021-09-26,109.2610
2021-09-27,114.2250
2021-09-28,136.8388
2021-09-29,110.3298
2021-09-30,98.1873
2021-10-01,75.3160
2021-10-02,74.5773
2021-10-03,35.8340
2021-10-04,127.0948
2021-10-05,113.4958
2021-10-06,115.9465
2021-10-07,181.0567
2021-10-08,152.9642
2021-10-09,106.8240
2021-10-10,67.8323
2021-10-11,102.3440
2021-10-12,125.2446
2021-10-13,154.9912
2021-10-14,111.4640
2021-10-15,64.9692
2021-10-16,53.2167
2021-10-17,83.5042
2021-10-18,137.6556
2021-10-19,121.9035
2021-10-20,58.8713
2021-10-21,60.4771
2021-10-22,56.5915
2021-10-23,88.4737
2021-10-24,70.1071
2021-10-25,103.9273
2021-10-26,128.1450
2021-10-27,71.4075
2021-10-28,83.6821
2021-10-29,83.0210
2021-10-30,71.6587
2021-10-31,54.1140
2021-11-01,66.3802
2021-11-02,99.1615
2021-11-03,110.6181
2021-11-04,98.7044
2021-11-05,71.0062
2021-11-06,44.1150
2021-11-07,40.6954
2021-11-08,133.3000
2021-11-09,100.5377
2021-11-10,115.6279
2021-11-11,122.6735
2021-11-12,130.5765
2021-11-13,133.5275
2021-11-14,114.0517
2021-11-15,143.8494
2021-11-16,179.4596
2021-11-17,112.6538
2021-11-18,79.4419
2021-11-19,51.8646
2021-11-20,62.3413
2021-11-21,91.9600
2021-11-22,133.5875
2021-11-23,131.4446
2021-11-24,124.2285
2021-11-25,119.6602
2021-11-26,156.0210
2021-11-27,165.4606
2021-11-28,177.4904
2021-11-29,187.9429
2021-11-30,145.0410
2021-12-01,123.9925
2021-12-02,160.2881
2021-12-03,151.1083
2021-12-04,165.2704
2021-12-05,139.2929
2021-12-06,265.6394
2021-12-07,235.8654
2021-12-08,164.4402
2021-12-09,243.1494
2021-12-10,227.0198
2021-12-11,226.9540
2021-12-12,181.4175
2021-12-13,242.3940
2021-12-14,244.8558
2021-12-15,151.9352
2021-12-16,128.9396
2021-12-17,177.1562
2021-12-18,127.1175
2021-12-19,77.2996
2021-12-20,238.5754
2021-12-21,379.1658
2021-12-22,361.3804
2021-12-23,233.1894
2021-12-24,131.6271
2021-12-25,123.3625
2021-12-26,155.7496
2021-12-27,129.2671
2021-12-28,108.6525
2021-12-29,148.4440
2021-12-30,95.9910
2021-12-31,63.5198
2022-01-01,83.6087
2022-01-02,66.6828
2022-01-03,88.5330
2022-01-04,142.9369
2022-01-05,115.0450
2022-01-06,157.0789
2022-01-07,140.6136
2022-01-08,160.0847
2022-01-09,134.9108
2022-01-10,245.9864
2022-01-11,242.5179
2022-01-12,195.8139
2022-01-13,84.7647
2022-01-14,92.1761
2022-01-15,157.3821
2022-01-16,74.1976
2022-01-17,93.8910
2022-01-18,168.6949
2022-01-19,97.1594
2022-01-20,93.5467
2022-01-21,111.9365
2022-01-22,160.9465
2022-01-23,143.1572
2022-01-24,155.9051
2022-01-25,176.8022
2022-01-26,144.1919
2022-01-27,85.1685
2022-01-28,109.4165
2022-01-29,85.7073
2022-01-30,62.2054
2022-01-31,196.7312
2022-02-01,146.6322
2022-02-02,143.8492
2022-02-03,178.0906
2022-02-04,116.2879
2022-02-05,73.9138
2022-02-06,76.3992
2022-02-07,100.6163
2022-02-08,95.3339
2022-02-09,103.9354
2022-02-10,107.9306
2022-02-11,124.4696
2022-02-12,95.0644
2022-02-13,61.4928
2022-02-14,88.3675
2022-02-15,99.1764
2022-02-16,89.3978
2022-02-17,81.7364
2022-02-18,89.2900
2022-02-19,71.5328
2022-02-20,77.0132
2022-02-21,83.4899
2022-02-22,113.3826
2022-02-23,104.7054
2022-02-24,92.0823
2022-02-25,99.8747
2022-02-26,137.0685
2022-02-27,118.7017
2022-02-28,149.1943
2022-03-01,142.1499
2022-03-02,177.3290
2022-03-03,159.2914
2022-03-04,177.9124
2022-03-05,176.3742
2022-03-06,122.9888
2022-03-07,163.9606
2022-03-08,204.7154
2022-03-09,192.8879
2022-03-10,147.8449
2022-03-11,102.8978
2022-03-12,121.8952
2022-03-13,76.2503
2022-03-14,160.3925
2022-03-15,215.8877
2022-03-16,178.0575
2022-03-17,113.0499
2022-03-18,139.3233
2022-03-19,115.9139
2022-03-20,74.3507
2022-03-21,133.3254
2022-03-22,163.9032
2022-03-23,167.2194
2022-03-24,152.3661
2022-03-25,108.7904
2022-03-26,89.0561
2022-03-27,85.0962
