DATE,VALUE
2009-01-17,0
2009-01-21,0
2009-01-25,0
2009-01-29,0
2009-02-02,0
2009-02-06,0
2009-02-10,0
2009-02-14,0
2009-02-18,0
2009-02-22,0
2009-02-26,0
2009-03-02,0
2009-03-06,0
2009-03-10,0
2009-03-14,0
2009-03-18,0
2009-03-22,0
2009-03-26,0
2009-03-30,0
2009-04-03,0
2009-04-07,0
2009-04-11,0
2009-04-15,0
2009-04-19,0
2009-04-23,0
2009-04-27,0
2009-05-01,0
2009-05-05,0
2009-05-09,0
2009-05-13,0
2009-05-17,0
2009-05-21,0
2009-05-25,0
2009-05-29,0
2009-06-02,0
2009-06-06,0
2009-06-10,0
2009-06-14,0
2009-06-18,0
2009-06-22,0
2009-06-26,0
2009-06-30,0
2009-07-04,0
2009-07-08,0
2009-07-12,0
2009-07-16,0
2009-07-20,0
2009-07-24,0
2009-07-28,0
2009-08-01,0
2009-08-05,0
2009-08-09,0
2009-08-13,0
2009-08-17,0
2009-08-21,0
2009-08-25,0
2009-08-29,0
2009-09-02,0
2009-09-06,0
2009-09-10,0
2009-09-14,0
2009-09-18,0
2009-09-22,0
2009-09-26,0
2009-09-30,0
2009-10-04,0
2009-10-08,0
2009-10-12,0
2009-10-16,0
2009-10-20,0
2009-10-24,0
2009-10-28,0
2009-11-01,0
2009-11-05,0
2009-11-09,0
2009-11-13,0
2009-11-17,0
2009-11-21,0
2009-11-25,0
2009-11-29,0
2009-12-03,0
2009-12-07,0
2009-12-11,0
2009-12-15,0
2009-12-19,0
2009-12-23,0
2009-12-27,0
2009-12-31,0
2010-01-04,0
2010-01-08,0
2010-01-12,0
2010-01-16,0
2010-01-20,0
2010-01-24,0
2010-01-28,0
2010-02-01,0
2010-02-05,0
2010-02-09,0
2010-02-13,0
2010-02-17,0
2010-02-21,0
2010-02-25,0
2010-03-01,0
2010-03-05,0
2010-03-09,0
2010-03-13,0
2010-03-17,0
2010-03-21,0
2010-03-25,0
2010-03-29,0
2010-04-02,0
2010-04-06,0
2010-04-10,0
2010-04-14,0
2010-04-18,0
2010-04-22,0
2010-04-26,0
2010-04-30,0
2010-05-04,0
2010-05-08,0
2010-05-12,0
2010-05-16,0
2010-05-20,0
2010-05-24,0
2010-05-28,0
2010-06-01,0
2010-06-05,0
2010-06-09,0
2010-06-13,0
2010-06-17,0
2010-06-21,0
2010-06-25,0
2010-06-29,0
2010-07-03,0
2010-07-07,0
2010-07-11,0
2010-07-15,0
2010-07-19,0
2010-07-23,0
2010-07-27,0
2010-07-31,0
2010-08-04,0
2010-08-08,0
2010-08-12,0
2010-08-16,0
2010-08-20,682.5
2010-08-24,759.556
2010-08-28,595
2010-09-01,471.0048
2010-09-05,495.0006
2010-09-09,411.0066
2010-09-13,519
2010-09-17,642
2010-09-21,522
2010-09-25,621
2010-09-29,498
2010-10-03,372.00047
2010-10-07,486
2010-10-11,966
2010-10-15,1006.5
2010-10-19,1300
2010-10-23,1325.5055
2010-10-27,2080.5
2010-10-31,1738.5
2010-11-04,2794.5
2010-11-08,6509.8901
2010-11-12,2124
2010-11-16,2870
2010-11-20,1652.2828
2010-11-24,2595.558
2010-11-28,2436
2010-12-02,2185.0138
2010-12-06,2863.5104
2010-12-10,1713.5161
2010-12-14,1932.0113
2010-12-18,2037.5166
2010-12-22,2281.5479
2010-12-26,1837.5264
2010-12-30,2625.0277
2011-01-03,2340.2185
2011-01-07,2550.0161
2011-01-11,2970.017
2011-01-15,3542.0462
2011-01-19,3363.019
2011-01-23,3741.1544
2011-01-27,3402.252
2011-01-31,4176.3648
2011-02-04,7722.0964
2011-02-08,7740.1596
2011-02-12,10094.764
2011-02-16,12636.637
2011-02-20,10200.2
2011-02-24,10022.659
2011-02-28,7200.4971
2011-03-04,10387.677
2011-03-08,8785.1036
2011-03-12,6604.4573
2011-03-16,6121.629
2011-03-20,5783.8758
2011-03-24,6715.1898
2011-03-28,7746.9961
2011-04-01,8883.6
2011-04-05,7781.1047
2011-04-09,6165.3259
2011-04-13,8927.7358
2011-04-17,10030.379
2011-04-21,8824.0485
2011-04-25,18349.468
2011-04-29,26619.741
2011-05-03,34916.808
2011-05-07,39120.091
2011-05-11,52790.904
2011-05-15,98033.828
2011-05-19,67163.576
2011-05-23,98185.902
2011-05-27,77198.224
2011-05-31,72236.318
2011-06-04,169044.3
2011-06-08,205777.87
2011-06-12,339684.63
2011-06-16,180547.4
2011-06-20,216942.32
2011-06-24,175009.37
2011-06-28,143475.09
2011-07-02,144573.25
2011-07-06,120837.23
2011-07-10,104035.66
2011-07-14,101997.37
2011-07-18,119733.41
2011-07-22,105435.76
2011-07-26,129122.84
2011-07-30,107719.38
2011-08-03,109075.99
2011-08-07,81473.214
2011-08-11,91137.937
2011-08-15,75922.588
2011-08-19,80237.628
2011-08-23,135219.99
2011-08-27,61111.332
2011-08-31,73389.929
2011-09-04,59178.419
2011-09-08,50112.387
2011-09-12,53842.455
2011-09-16,34345.022
2011-09-20,41857.697
2011-09-24,40224.903
2011-09-28,37507.333
2011-10-02,33482.529
2011-10-06,32540.47
2011-10-10,27264.676
2011-10-14,33446.385
2011-10-18,23795.998
2011-10-22,14022.048
2011-10-26,17559.263
2011-10-30,21180.446
2011-11-03,21322.42
2011-11-07,20378.586
2011-11-11,18006.201
2011-11-15,25231.091
2011-11-19,14582.919
2011-11-23,16528.341
2011-11-27,14874.48
2011-12-01,43221.239
2011-12-05,39646.191
2011-12-09,23338.952
2011-12-13,21991.5
2011-12-17,28920.813
2011-12-21,42582.949
2011-12-25,43867.197
2011-12-29,32934.633
2012-01-02,63012.489
2012-01-06,60436.957
2012-01-10,58149.126
2012-01-14,60879.008
2012-01-18,48170.595
2012-01-22,48845.299
2012-01-26,53094.35
2012-01-30,51072.91
2012-02-03,54515.325
2012-02-07,43025.432
2012-02-11,46949.213
2012-02-15,38044.813
2012-02-19,36583.916
2012-02-23,40768.521
2012-02-27,44206.103
2012-03-02,36950.811
2012-03-06,41102.227
2012-03-10,45810.244
2012-03-14,45828.197
2012-03-18,47538.342
2012-03-22,42873.456
2012-03-26,48194.039
2012-03-30,43187.947
2012-04-03,36713.288
2012-04-07,34986.86
2012-04-11,38494.439
