date,price
2021-05-03,109.08000000
2021-05-04,109.34000000
2021-05-05,109.27000000
2021-05-06,109.17000000
2021-05-07,108.52000000
2021-05-10,108.70000000
2021-05-11,108.53000000
2021-05-12,109.53000000
2021-05-13,109.56000000
2021-05-14,109.37000000
2021-05-17,109.17000000
2021-05-18,109.01000000
2021-05-19,108.76000000
2021-05-20,108.79000000
2021-05-21,108.94000000
2021-05-24,108.81000000
2021-05-25,108.95000000
2021-05-26,109.10000000
2021-05-27,109.81000000
2021-05-28,109.83000000
2021-06-01,109.43000000
2021-06-02,109.59000000
2021-06-03,110.28000000
2021-06-04,109.42000000
2021-06-07,109.25000000
2021-06-08,109.47000000
2021-06-09,109.61000000
2021-06-10,109.49000000
2021-06-11,109.75000000
2021-06-14,109.98000000
2021-06-15,110.12000000
2021-06-16,109.88000000
2021-06-17,110.28000000
2021-06-18,110.21000000
2021-06-21,110.22000000
2021-06-22,110.75000000
2021-06-23,110.86000000
2021-06-24,110.91000000
2021-06-25,110.78000000
2021-06-28,110.50000000
2021-06-29,110.53000000
2021-06-30,111.05000000
2021-07-01,111.56000000
2021-07-02,111.28000000
2021-07-06,110.66000000
2021-07-07,110.62000000
2021-07-08,109.82000000
2021-07-09,110.18000000
2021-07-12,110.36000000
2021-07-13,110.36000000
2021-07-14,110.03000000
2021-07-15,110.05000000
2021-07-16,110.13000000
2021-07-19,109.45000000
2021-07-20,109.92000000
2021-07-21,110.22000000
2021-07-22,110.10000000
2021-07-23,110.52000000
2021-07-26,110.31000000
2021-07-27,109.64000000
2021-07-28,110.06000000
2021-07-29,109.53000000
2021-07-30,109.70000000
2021-08-02,109.22000000
2021-08-03,109.09000000
2021-08-04,109.44000000
2021-08-05,109.75000000
2021-08-06,110.22000000
2021-08-09,110.25000000
2021-08-10,110.54000000
2021-08-11,110.47000000
2021-08-12,110.36000000
2021-08-13,109.75000000
2021-08-16,109.26000000
2021-08-17,109.59000000
2021-08-18,109.92000000
2021-08-19,109.75000000
2021-08-20,109.77000000
2021-08-23,109.78000000
2021-08-24,109.68000000
2021-08-25,110.03000000
2021-08-26,110.09000000
2021-08-27,109.84000000
2021-08-30,109.91000000
2021-08-31,110.05000000
2021-09-01,110.03000000
2021-09-02,110.01000000
2021-09-03,109.64000000
2021-09-07,110.17000000
2021-09-08,110.32000000
2021-09-09,109.76000000
2021-09-10,109.93000000
2021-09-13,109.94000000
2021-09-14,109.66000000
2021-09-15,109.40000000
2021-09-16,109.67000000
2021-09-17,109.94000000
2021-09-20,109.47000000
2021-09-21,109.33000000
2021-09-22,109.59000000
2021-09-23,110.17000000
2021-09-24,110.72000000
2021-09-27,110.97000000
2021-09-28,111.33000000
2021-09-29,111.83000000
2021-09-30,111.50000000
2021-10-01,110.97000000
2021-10-04,110.94000000
2021-10-05,111.39000000
2021-10-06,111.33000000
2021-10-07,111.50000000
2021-10-08,112.15000000
2021-10-12,113.69000000
2021-10-13,113.49000000
2021-10-14,113.59000000
2021-10-15,114.31000000
2021-10-18,114.22000000
2021-10-19,114.27000000
2021-10-20,114.24000000
2021-10-21,113.75000000
2021-10-22,113.54000000
2021-10-25,113.70000000
2021-10-26,114.19000000
2021-10-27,113.75000000
2021-10-28,113.38000000
2021-10-29,114.03000000
2021-11-01,114.19000000
2021-11-02,113.78000000
2021-11-03,114.06000000
2021-11-04,113.63000000
2021-11-05,113.45000000
2021-11-08,113.15000000
2021-11-09,112.87000000
2021-11-10,113.89000000
2021-11-12,113.90000000
2021-11-15,113.96000000
2021-11-16,114.62000000
2021-11-17,114.33000000
2021-11-18,114.22000000
2021-11-19,113.81000000
2021-11-22,114.69000000
2021-11-23,114.98000000
2021-11-24,115.34000000
2021-11-26,113.46000000
2021-11-29,113.75000000
2021-11-30,113.22000000
2021-12-01,112.82000000
2021-12-02,113.10000000
2021-12-03,112.88000000
2021-12-06,113.31000000
2021-12-07,113.61000000
2021-12-08,113.83000000
2021-12-09,113.53000000
2021-12-10,113.36000000
2021-12-13,113.42000000
2021-12-14,113.63000000
2021-12-15,113.83000000
2021-12-16,113.67000000
2021-12-17,113.56000000
2021-12-20,113.45000000
2021-12-21,114.11000000
2021-12-22,114.22000000
2021-12-23,114.42000000
2021-12-27,114.85000000
2021-12-28,114.75000000
2021-12-29,114.97000000
2021-12-30,115.17000000
2022-01-03,115.27000000
2022-01-04,116.12000000
2022-01-05,115.91000000
2022-01-06,115.78000000
2022-01-07,115.61000000
