date,price
2021-05-03,0.71970000
2021-05-04,0.71280000
2021-05-05,0.72110000
2021-05-06,0.72210000
2021-05-07,0.72960000
2021-05-10,0.73050000
2021-05-11,0.72750000
2021-05-12,0.71660000
2021-05-13,0.71800000
2021-05-14,0.72440000
2021-05-17,0.72120000
2021-05-18,0.72390000
2021-05-19,0.71870000
2021-05-20,0.72120000
2021-05-21,0.71650000
2021-05-24,0.72050000
2021-05-25,0.72160000
2021-05-26,0.72920000
2021-05-27,0.72910000
2021-05-28,0.72520000
2021-06-01,0.72570000
2021-06-02,0.72450000
2021-06-03,0.71440000
2021-06-04,0.72040000
2021-06-07,0.72420000
2021-06-08,0.71960000
2021-06-09,0.71750000
2021-06-10,0.71990000
2021-06-11,0.71250000
2021-06-14,0.71460000
2021-06-15,0.71100000
2021-06-16,0.71450000
2021-06-17,0.70040000
2021-06-18,0.69390000
2021-06-21,0.69880000
2021-06-22,0.70020000
2021-06-23,0.70590000
2021-06-24,0.70500000
2021-06-25,0.70750000
2021-06-28,0.70540000
2021-06-29,0.69950000
2021-06-30,0.69780000
2021-07-01,0.69800000
2021-07-02,0.70070000
2021-07-06,0.70090000
2021-07-07,0.70130000
2021-07-08,0.69520000
2021-07-09,0.69840000
2021-07-12,0.69860000
2021-07-13,0.69720000
2021-07-14,0.70260000
2021-07-15,0.69940000
2021-07-16,0.70110000
2021-07-19,0.69440000
2021-07-20,0.69140000
2021-07-21,0.69700000
2021-07-22,0.69570000
2021-07-23,0.69750000
2021-07-26,0.70040000
2021-07-27,0.69640000
2021-07-28,0.69330000
2021-07-29,0.70150000
2021-07-30,0.69820000
2021-08-02,0.69730000
2021-08-03,0.70060000
2021-08-04,0.70470000
2021-08-05,0.70630000
2021-08-06,0.70130000
2021-08-09,0.70010000
2021-08-10,0.70050000
2021-08-11,0.70470000
2021-08-12,0.70080000
2021-08-13,0.70450000
2021-08-16,0.70250000
2021-08-17,0.69120000
2021-08-18,0.68900000
2021-08-19,0.68530000
2021-08-20,0.68300000
2021-08-23,0.68940000
2021-08-24,0.69460000
2021-08-25,0.69640000
2021-08-26,0.69570000
2021-08-27,0.70120000
2021-08-30,0.70020000
2021-08-31,0.70420000
2021-09-01,0.70680000
2021-09-02,0.71100000
2021-09-03,0.71470000
2021-09-07,0.71070000
2021-09-08,0.70950000
2021-09-09,0.71260000
2021-09-10,0.71260000
2021-09-13,0.71170000
2021-09-14,0.71110000
2021-09-15,0.71050000
2021-09-16,0.70720000
2021-09-17,0.70430000
2021-09-20,0.70250000
2021-09-21,0.70130000
2021-09-22,0.70310000
2021-09-23,0.70740000
2021-09-24,0.70130000
2021-09-27,0.70100000
2021-09-28,0.69560000
2021-09-29,0.68710000
2021-09-30,0.68990000
2021-10-01,0.69430000
2021-10-04,0.69640000
2021-10-05,0.69690000
2021-10-06,0.69130000
2021-10-07,0.69390000
2021-10-08,0.69320000
2021-10-12,0.69460000
2021-10-13,0.69560000
2021-10-14,0.70280000
2021-10-15,0.70710000
2021-10-18,0.70810000
2021-10-19,0.71630000
2021-10-20,0.72010000
2021-10-21,0.71720000
2021-10-22,0.71400000
2021-10-25,0.71660000
2021-10-26,0.71550000
2021-10-27,0.71760000
2021-10-28,0.72080000
2021-10-29,0.71580000
2021-11-01,0.71950000
2021-11-02,0.71040000
2021-11-03,0.71370000
2021-11-04,0.71100000
2021-11-05,0.71230000
2021-11-08,0.71730000
2021-11-09,0.71230000
2021-11-10,0.70870000
2021-11-12,0.70400000
2021-11-15,0.70590000
2021-11-16,0.69930000
2021-11-17,0.70010000
2021-11-18,0.70310000
2021-11-19,0.70170000
2021-11-22,0.69660000
2021-11-23,0.69460000
2021-11-24,0.68680000
2021-11-26,0.68250000
2021-11-29,0.67900000
2021-11-30,0.67950000
2021-12-01,0.68390000
2021-12-02,0.68150000
2021-12-03,0.67530000
2021-12-06,0.67480000
2021-12-07,0.67770000
2021-12-08,0.68070000
2021-12-09,0.67830000
2021-12-10,0.67980000
2021-12-13,0.67550000
2021-12-14,0.67460000
2021-12-15,0.67350000
2021-12-16,0.68100000
2021-12-17,0.67550000
2021-12-20,0.67190000
2021-12-21,0.67560000
2021-12-22,0.68170000
2021-12-23,0.68260000
2021-12-27,0.68110000
2021-12-28,0.68000000
2021-12-29,0.68260000
2021-12-30,0.68390000
2022-01-03,0.67870000
2022-01-04,0.68080000
2022-01-05,0.68260000
2022-01-06,0.67480000
2022-01-07,0.67790000
2022-01-10,0.67540000
2022-01-11,0.67740000
2022-01-12,0.68460000
2022-01-13,0.68800000
2022-01-14,0.68100000
2022-01-18,0.67700000
2022-01-19,0.67940000
2022-01-20,0.67930000
2022-01-21,0.67270000
2022-01-24,0.66690000
2022-01-25,0.66700000
2022-01-26,0.66880000
2022-01-27,0.65890000
2022-01-28,0.65550000
2022-01-31,0.65790000
2022-02-01,0.66200000
2022-02-02,0.66270000
2022-02-03,0.66630000
2022-02-04,0.66020000
2022-02-07,0.66200000
2022-02-08,0.66410000
2022-02-09,0.66880000
2022-02-10,0.67290000
2022-02-11,0.66820000
2022-02-14,0.66130000
2022-02-15,0.66420000
2022-02-16,0.66700000
2022-02-17,0.66990000
2022-02-18,0.66940000
2022-02-22,0.67500000
2022-02-23,0.67820000
2022-02-24,0.66530000
2022-02-25,0.67390000
2022-02-28,0.67740000
2022-03-01,0.67570000
2022-03-02,0.67790000
2022-03-03,0.67850000
2022-03-04,0.68490000
2022-03-07,0.68250000
2022-03-08,0.68130000
2022-03-09,0.68480000
2022-03-10,0.68660000
2022-03-11,0.68180000
2022-03-14,0.67830000
2022-03-15,0.67670000
2022-03-16,0.68070000
2022-03-17,0.68930000
2022-03-18,0.68990000
2022-03-21,0.69030000
2022-03-22,0.69450000
2022-03-23,0.69720000
2022-03-24,0.69600000
2022-03-25,0.69500000
2022-03-28,0.68960000
2022-03-29,0.69240000
2022-03-30,0.69770000
2022-03-31,0.69460000
2022-04-01,0.69120000
2022-04-04,0.69640000
2022-04-05,0.69680000
2022-04-06,0.69330000
2022-04-07,0.68880000
2022-04-08,0.68520000
2022-04-11,0.68260000
2022-04-12,0.68810000
2022-04-13,0.67850000
2022-04-14,0.67740000
2022-04-15,0.67760000
2022-04-18,0.67240000
2022-04-19,0.67260000
2022-04-20,0.68100000
2022-04-21,0.67380000
2022-04-22,0.66370000
2022-04-25,0.65970000
2022-04-26,0.65830000
2022-04-27,0.65380000
2022-04-28,0.64750000
2022-04-29,0.64760000
2022-05-02,0.64330000
2022-05-03,0.64400000
2022-05-04,0.64470000
2022-05-05,0.64050000
2022-05-06,0.64270000
2022-05-09,0.63470000
2022-05-10,0.62860000
2022-05-11,0.63390000
2022-05-12,0.62370000
2022-05-13,0.62610000
2022-05-16,0.62840000
2022-05-17,0.63520000
2022-05-18,0.63330000
2022-05-19,0.64000000
2022-05-20,0.63880000
2022-05-23,0.64620000
2022-05-24,0.64430000
2022-05-25,0.64590000
2022-05-26,0.64620000
2022-05-27,0.65350000
2022-05-31,0.65200000
2022-06-01,0.64710000
2022-06-02,0.65500000
2022-06-03,0.65050000
2022-06-06,0.64990000
2022-06-07,0.64750000
2022-06-08,0.64700000
2022-06-09,0.64050000
2022-06-10,0.63630000
2022-06-13,0.62760000
2022-06-14,0.62210000
2022-06-15,0.62410000
2022-06-16,0.63380000
2022-06-17,0.62910000
2022-06-21,0.63450000
2022-06-22,0.62930000
2022-06-23,0.62810000
2022-06-24,0.63190000
2022-06-27,0.63180000
2022-06-28,0.62540000
2022-06-29,0.62240000
2022-06-30,0.62450000
2022-07-01,0.61870000
2022-07-05,0.61420000
2022-07-06,0.61400000
2022-07-07,0.61700000
2022-07-08,0.61960000
2022-07-11,0.61360000
2022-07-12,0.61400000
2022-07-13,0.61560000
2022-07-14,0.61240000
2022-07-15,0.61580000
2022-07-18,0.61720000
2022-07-19,0.62280000
2022-07-20,0.62380000
2022-07-21,0.62160000
2022-07-22,0.62730000
2022-07-25,0.62590000
2022-07-26,0.62350000
2022-07-27,0.61990000
2022-07-28,0.62770000
2022-07-29,0.62790000
2022-08-01,0.63460000
2022-08-02,0.62810000
2022-08-03,0.62500000
2022-08-04,0.62970000
2022-08-05,0.62390000
2022-08-08,0.62890000
2022-08-09,0.62870000
2022-08-10,0.64270000
2022-08-11,0.64440000
2022-08-12,0.64370000
2022-08-15,0.63820000
2022-08-16,0.63370000
2022-08-17,0.62620000
2022-08-18,0.62680000
2022-08-19,0.61770000
2022-08-22,0.61640000
2022-08-23,0.62270000
2022-08-24,0.61900000
2022-08-25,0.62150000
2022-08-26,0.61610000
2022-08-29,0.61610000
2022-08-30,0.61390000
2022-08-31,0.61360000
2022-09-01,0.60690000
2022-09-02,0.61350000
2022-09-06,0.60520000
2022-09-07,0.60350000
2022-09-08,0.60470000
2022-09-09,0.61140000
2022-09-12,0.61510000
2022-09-13,0.60130000
2022-09-14,0.60130000
2022-09-15,0.59750000
2022-09-16,0.59780000
2022-09-19,0.59360000
2022-09-20,0.59090000
2022-09-21,0.58840000
2022-09-22,0.58440000
2022-09-23,0.57630000
2022-09-26,0.56660000
2022-09-27,0.56490000
2022-09-28,0.57030000
2022-09-29,0.57070000
2022-09-30,0.56420000
2022-10-03,0.57090000
2022-10-04,0.57400000
2022-10-05,0.57040000
2022-10-06,0.56590000
2022-10-07,0.56280000
2022-10-11,0.56420000
2022-10-12,0.56070000
2022-10-13,0.56210000
2022-10-14,0.55680000
2022-10-17,0.56460000
2022-10-18,0.56630000
2022-10-19,0.56680000
2022-10-20,0.57220000
2022-10-21,0.57540000
2022-10-24,0.56910000
2022-10-25,0.57620000
2022-10-26,0.58340000
2022-10-27,0.58450000
2022-10-28,0.57920000
2022-10-31,0.58100000
2022-11-01,0.58420000
2022-11-02,0.58630000
2022-11-03,0.57790000
2022-11-04,0.58900000
2022-11-07,0.59200000
2022-11-08,0.59960000
2022-11-09,0.58990000
2022-11-10,0.60100000
2022-11-14,0.60970000
2022-11-15,0.61740000
2022-11-16,0.61450000
2022-11-17,0.61000000
2022-11-18,0.61600000
2022-11-21,0.60930000
2022-11-22,0.61400000
2022-11-23,0.62210000
2022-11-25,0.62440000
2022-11-28,0.62040000
2022-11-29,0.62000000
2022-11-30,0.62340000
2022-12-01,0.63720000
2022-12-02,0.63980000
2022-12-05,0.63070000
2022-12-06,0.63270000
2022-12-07,0.63660000
2022-12-08,0.63760000
2022-12-09,0.64240000
2022-12-12,0.63770000
2022-12-13,0.64790000
2022-12-14,0.64500000
2022-12-15,0.63420000
2022-12-16,0.63700000
